Country Name,Country Code,Year,unemployment,inflation,oil_rents,gdp_growth,exchange_rate
Algeria,DZA,1960,,,,,4.93706000393706
Algeria,DZA,1961,,,,-13.6054413245993,4.93706000393706
Algeria,DZA,1962,,,,-19.6850418256566,4.93706000393706
Algeria,DZA,1963,,,,34.3137287803281,4.93706000393706
Algeria,DZA,1964,,,,5.83941300772857,4.93706000393706
Algeria,DZA,1965,,,,6.20689821107077,4.93706000393706
Algeria,DZA,1966,,,,-4.80497094328264,4.93706000393706
Algeria,DZA,1967,,,,9.45296256280155,4.93706000393706
Algeria,DZA,1968,,,,10.7962385711022,4.93706000393706
Algeria,DZA,1969,,,,8.4332802824936,4.93706000393706
Algeria,DZA,1970,,6.59999999900017,7.16190012707325,8.86265711007658,4.93706000393706
Algeria,DZA,1971,,2.62664165105635,6.99097752673545,-11.3317191682878,4.91263833685897
Algeria,DZA,1972,,3.65630712983236,9.01389998420143,27.423969480425,4.48051495321131
Algeria,DZA,1973,,6.17283950622715,10.8416352012321,3.81317629611722,3.96249541224223
Algeria,DZA,1974,,4.69961240341694,27.7199227930192,7.4949177045299,4.180749999
Algeria,DZA,1975,,8.23031665265143,22.633272567122,5.04534161267209,3.94940833233333
Algeria,DZA,1976,,9.43073540174557,23.7199737259153,8.38675648442262,4.163824999
Algeria,DZA,1977,,11.989283322105,23.1641392496026,5.25858598646316,4.14675833233333
Algeria,DZA,1978,,17.5239234455033,20.1203326203857,9.21483570068075,3.965899999
Algeria,DZA,1979,,11.3486005086091,36.9394487987451,7.47782655144202,3.85326666566667
Algeria,DZA,1980,,9.51782449754963,30.4169667655539,0.790606971852654,3.837449999
Algeria,DZA,1981,,14.6548426360634,24.5140416578688,2.99999608841746,4.31580833233333
Algeria,DZA,1982,,6.54250963007673,18.3348339984003,6.40000411483896,4.59219166566667
Algeria,DZA,1983,,5.9671639303272,16.5357512739164,5.40000302451797,4.788799999
Algeria,DZA,1984,,8.116397955171,15.4490512271312,5.59999652938126,4.98337499958333
Algeria,DZA,1985,,10.4822870444467,14.2827795193099,3.69999725488672,5.0278
Algeria,DZA,1986,,12.3716091651299,5.87028540433224,0.400001002799627,4.70231666666666
Algeria,DZA,1987,,7.44126091287247,8.53318724872721,-0.69999752622347,4.84974166666666
Algeria,DZA,1988,,5.91154496373489,8.0022301703217,-1.00000549065851,5.91476666666667
Algeria,DZA,1989,,9.30436125843166,12.5689148306239,4.40000216059909,7.60855833333333
Algeria,DZA,1990,,16.6525343885432,15.7969733351133,0.800000580174981,8.95750833333333
